Scenario,Noise_Level,UA_Cost_Per_Decision,UA_Cost_CI95,Blind_Cost_Per_Decision,Blind_Cost_CI95,UA_Annual_Fleet,Blind_Annual_Fleet,Annual_Saving_GBP,Saving_%,UA_Jackpot%,Blind_Jackpot%,UA_Crash%,Blind_Crash%,UA_Override%,Blind_Override%
No_Supervisor,0.0,22522.0,658.0,34998.0,4868.0,4504400.0,6999600.0,2495200.0,35.6,73.4,70.6,0.0,5.0,0.0,0.0
Full_System,0.0,22578.0,670.0,26480.0,722.0,4515600.0,5296000.0,780400.0,14.7,74.2,79.2,0.0,0.0,1.6,41.2
No_Supervisor,0.025,26160.0,791.0,40620.0,5074.0,5232000.0,8124000.0,2892000.0,35.6,53.6,50.2,0.0,5.6,0.0,0.0
Full_System,0.025,33998.0,980.0,36874.0,881.0,6799600.0,7374800.0,575200.0,7.8,34.8,32.2,0.0,0.0,39.2,54.0
No_Supervisor,0.05,28098.0,834.0,48624.0,5937.0,5619600.0,9724800.0,4105200.0,42.2,44.2,45.0,0.0,8.0,0.0,0.0
Full_System,0.05,36094.0,1009.0,39836.0,920.0,7218800.0,7967200.0,748400.0,9.4,28.8,25.8,0.0,0.0,42.8,58.0
No_Supervisor,0.075,33702.0,2665.0,61432.0,7182.0,6740400.0,12286400.0,5546000.0,45.1,34.4,38.0,1.4,12.6,0.0,0.0
Full_System,0.075,40288.0,979.0,41256.0,936.0,8057600.0,8251200.0,193600.0,2.3,17.2,25.4,0.0,0.0,55.8,71.2
No_Supervisor,0.1,36536.0,3121.0,92216.0,9350.0,7307200.0,18443200.0,11136000.0,60.4,30.0,33.4,2.0,25.2,0.0,0.0
Full_System,0.1,43514.0,1245.0,42258.0,865.0,8702800.0,8451600.0,-251200.0,-3.0,12.0,24.2,0.2,0.0,69.8,80.0
No_Supervisor,0.125,46638.0,4956.0,109292.0,10100.0,9327600.0,21858400.0,12530800.0,57.3,23.8,33.2,5.6,32.4,0.0,0.0
Full_System,0.125,44542.0,752.0,42646.0,843.0,8908400.0,8529200.0,-379200.0,-4.4,7.8,26.8,0.0,0.0,77.6,88.4
No_Supervisor,0.15,55300.0,5975.0,129202.0,10517.0,11060000.0,25840400.0,14780400.0,57.2,19.2,26.6,8.6,40.2,0.0,0.0
Full_System,0.15,45846.0,1141.0,43414.0,809.0,9169200.0,8682800.0,-486400.0,-5.6,5.8,25.2,0.2,0.0,78.6,90.4
No_Supervisor,0.175,74296.0,7895.0,162004.0,10631.0,14859200.0,32400800.0,17541600.0,54.1,18.2,17.6,16.6,53.4,0.0,0.0
Full_System,0.175,45518.0,679.0,44416.0,749.0,9103600.0,8883200.0,-220400.0,-2.5,6.2,21.4,0.0,0.0,83.2,94.8
