Experiment,Noise_Level,UA_Mean,UA_Std,UA_CI95,UA_Median,UA_Fail%,UA_Jackpot%,Blind_Mean,Blind_Std,Blind_CI95,Blind_Median,Blind_Fail%,Blind_Jackpot%,Reward_Gap,t_statistic,p_value,Significance,Cohens_d,Effect_Size,UA_Overrides,Blind_Overrides,UA_Autonomy%,Blind_Autonomy%,UA_Auto_Jacks,Blind_Auto_Jacks
Exp1_Layer2_Only,0.0,445.3,187.9,16.5,506.5,0.0,82.0,347.6,280.2,24.6,500.0,4.4,66.2,97.6,6.465,1.69e-10,***,0.409,small,,,0.0,0.0,,
Exp1_Layer2_Only,0.025,291.1,237.4,20.8,498.8,0.0,51.2,251.6,283.1,24.8,147.5,4.0,47.8,39.5,2.389,1.71e-02,*,0.151,negligible,,,0.0,0.0,,
Exp1_Layer2_Only,0.05,269.8,240.7,21.1,157.0,0.0,47.6,201.0,296.3,26.0,70.0,6.6,42.6,68.8,4.023,6.19e-05,***,0.254,small,,,0.0,0.0,,
Exp1_Layer2_Only,0.075,229.2,243.5,21.3,79.0,0.6,40.6,174.2,300.9,26.4,30.5,7.6,38.8,55.1,3.177,1.53e-03,**,0.201,small,,,0.0,0.0,,
Exp1_Layer2_Only,0.1,218.6,278.4,24.4,92.0,4.2,42.8,150.2,310.1,27.2,29.5,9.6,36.4,68.4,3.668,2.58e-04,***,0.232,small,,,0.0,0.0,,
Exp1_Layer2_Only,0.125,164.8,290.6,25.5,38.5,7.2,35.8,119.5,322.0,28.2,18.5,12.2,33.4,45.3,2.333,1.98e-02,*,0.148,negligible,,,0.0,0.0,,
Exp1_Layer2_Only,0.15,163.2,324.3,28.4,49.5,10.8,40.0,101.8,342.2,30.0,20.0,15.8,33.8,61.4,2.911,3.69e-03,**,0.184,negligible,,,0.0,0.0,,
Exp1_Layer2_Only,0.175,129.4,340.0,29.8,29.5,14.2,36.6,65.2,374.7,32.8,15.0,23.0,33.2,64.2,2.833,4.71e-03,**,0.179,negligible,,,0.0,0.0,,
Exp2_Full_System,0.0,441.8,194.4,17.0,506.4,0.0,80.0,397.1,217.3,19.0,501.4,0.0,71.6,44.7,3.423,6.44e-04,***,0.217,small,125,175,75.0,65.0,291,204
Exp2_Full_System,0.025,224.6,232.5,20.4,85.0,0.0,38.6,189.2,219.5,19.2,54.0,0.0,31.4,35.4,2.474,1.35e-02,*,0.156,negligible,183,274,62.8,40.6,146,50
Exp2_Full_System,0.05,177.4,221.6,19.4,31.0,0.0,30.8,157.5,218.0,19.1,19.0,0.0,28.2,19.9,1.428,1.54e-01,ns,0.09,negligible,280,270,42.2,37.6,89,65
Exp2_Full_System,0.075,151.5,215.8,18.9,18.8,0.0,27.0,143.8,216.4,19.0,14.0,0.0,26.8,7.6,0.559,5.77e-01,ns,0.035,negligible,303,292,36.0,30.6,75,50
Exp2_Full_System,0.1,147.5,221.0,19.4,15.4,0.0,27.6,145.1,221.8,19.4,13.0,0.0,28.0,2.4,0.171,8.64e-01,ns,0.011,negligible,321,319,29.8,27.0,63,44
Exp2_Full_System,0.125,134.2,215.5,18.9,12.0,0.0,25.6,143.8,223.5,19.6,12.0,0.0,28.2,-9.5,-0.686,4.93e-01,ns,-0.043,negligible,356,358,25.2,20.8,67,47
Exp2_Full_System,0.15,130.4,216.2,18.9,11.0,0.0,25.4,144.8,226.3,19.8,11.0,0.0,28.8,-14.3,-1.023,3.06e-01,ns,-0.065,negligible,376,382,19.6,15.6,43,32
Exp2_Full_System,0.175,122.7,212.5,18.6,11.0,0.0,24.0,138.1,223.9,19.6,11.0,0.0,27.6,-15.4,-1.114,2.66e-01,ns,-0.07,negligible,377,413,18.6,12.0,36,21
